question,correct_answer,incorrect_answer
what are layers of the ionosphere,"The ionosphere is a region of the upper atmosphere , from about to altitude, and includes the thermosphere and parts of the mesosphere and exosphere .",Relationship of the atmosphere and ionosphere
what is a newsgroup message,"A Usenet newsgroup is a usually within the Usenet system, for messages posted from many users in different locations.",Newsreader software is used to read newsgroups.
what are some legal uses of meth,"Although rarely prescribed, methamphetamine hydrochloride is approved by the U.S. Food and Drug Administration (FDA) for the treatment of attention deficit hyperactivity disorder and obesity under the trade name Desoxyn.","Illicitly, methamphetamine may be sold either as pure dextromethamphetamine or in a racemic mixture."
Where does the word baptism come from,"Baptism (from the Greek noun βάπτισμα baptisma; itself derived from βαπτισμός baptismos, washing) is a Christian rite of admission (or adoption ), almost invariably with the use of water, into the Christian Church generally and also a particular church tradition.","The term ""baptism"" has also been used to refer to any ceremony, trial, or experience by which a person is initiated, purified, or given a name—see Other initiation ceremonies ."
what school did Zach Thomas play for before making it in to the NFL,"He played college football for Texas Tech University , and was recognized as an All-American .","Zachary Michael Thomas (born September 1, 1973) is a former American college and professional football player who was a linebacker in the National Football League (NFL) for thirteen seasons."
what order is the moth,"A moth is an insect related to the butterfly , both being of the order Lepidoptera .","Most species of moth are nocturnal , but there are crepuscular and diurnal species."
what kind of school is MIT,"The MIT Sloan School of Management (also known as MIT Sloan or Sloan) is the business school of the Massachusetts Institute of Technology , in Cambridge , Massachusetts , USA .","MIT Sloan places great emphasis on innovation and invention , and many of the world's most famous management and finance theories—including the Black–Scholes model, the binomial options pricing model , the Modigliani–Miller theorem , the neoclassical growth model , the random walk hypothesis , Theory X and Theory Y , and the field of System Dynamics —were developed at the school."
what part of the earth's structure is believed to consist of tectonic plates,"On Earth, there are seven or eight major plates (depending on how they are defined) and many minor plates.","The relative importance of each of these factors is unclear, and is still subject to debate (see also below)."
what is a letterbox movie,Letterboxing is the practice of transferring film shot in a widescreen aspect ratio to standard-width video formats while preserving the film's original aspect ratio.,LTBX is the identifying abbreviation for films and images so formatted.
what is a popular people meter,A people meter is an audience measurement tool used to measure the viewing habits of TV and cable audiences.,It identifies each household member's age and sex.
when to use semicolon,The Italian printer Aldus Manutius the Elder established the practice of using the semicolon to separate words of opposed meaning and to indicate interdependent statements.,"However, the semi-colon is used frequently in academic writing."
who sang black velvet,"""Black Velvet"" is a blues verse with a rock chorus written by Canadian songwriters Christopher Ward and David Tyson , recorded by Canadian singer songwriter Alannah Myles .",It was released in December 1989 as one of four singles from Myles' 1989 eponymous CD from Atlantic Records.
WHAT ARE HERITABLE TRAITS,heritability of a trait within a population is the proportion of observable differences in a trait between individuals within a population that is due to genetic differences.,Here we see why heritability is specific to a particular population in a particular environment.
what year was christianity introduced to sub-saharan africa,Christianity in Africa began in Egypt in the middle of the 1st century.,"Important Africans who influenced the early development of Christianity include Tertullian , Clement of Alexandria , Origen of Alexandria , Cyprian , Athanasius and Augustine of Hippo ."
what is a D.O. stand for medical doctor,Doctor of Osteopathic Medicine (D.O. or DO) is a professional doctoral degree for physicians offered by medical schools in the United States .,"Currently, there are 29 medical schools with 37 locations throughout the United States that offer the D.O. degree, and 141 medical schools that offer the M.D. degree."
what is a wwII theater,"The European Theatre of World War II, also known as the European War, was a huge area of heavy fighting across Europe from Germany's invasion of Poland on September 1, 1939 until the end of the war with the German unconditional surrender on May 8, 1945 ( V-E Day ).",The Allied forces fought the Axis powers on two fronts (the Eastern Front and Western Front ) as well as in the adjoining Mediterranean and Middle East Theatre .
how is whooping cough distinguished from similar diseases,"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing.","Although treatment is of little direct benefit to the person infected, antibiotics are recommended because they shorten the duration of infectiousness."
who invaded north africa during ww2,"Operation Torch (initially called Operation Gymnast) was the British – American invasion of French North Africa in World War II during the North African Campaign , started on 8 November 1942.","While the American commanders favored Operation Sledgehammer , landing in Occupied Europe as soon as possible, the British commanders believed that such a course would end in disaster."
when does the royal standard fly?,The Royal Standard is flown at royal residences only when the sovereign is present.,"When controversy arose regarding the lack of a flag at half-staff over Buckingham Palace following the death of Diana, Princess of Wales in 1997, a compromise was reached whereby the Union Flag was flown at half-staff."
What are the lateral and median apertures of the brain?,"It is an opening in each lateral extremity of the lateral recess of the fourth ventricle of the human brain , which also has a single median aperture .",The structure is also called the lateral aperture of the fourth ventricle or the foramen of Luschka after anatomist Hubert von Luschka .
what part of the pig do pork chops come from,"A pork chop is a chop of pork (a meat chop ) cut perpendicularly to the spine of the pig and usually containing a rib or part of a vertebra, served as an individual portion.","Pork chops, cooked and served."
what are the parts of plant stems?,"The stem is normally divided into nodes and internodes, the nodes hold buds which grow into one or more leaves , inflorescence (flowers), conifer cones , roots , other stems etc.",The stems keep the leaves in the light and provide a place for the plant to keep its flowers and fruits.
what is an army specialist,"Specialist (abbreviated ""SPC"") is one of the four junior enlisted ranks in the U.S. Army , just above Private First Class and equivalent in pay grade to Corporal .","Unlike Corporals, Specialists are not considered junior non-commissioned officers (NCOs)."
when did spongebob first air,"The pilot episode of SpongeBob SquarePants first aired in the United States on Nickelodeon on May 1, 1999, following the Nickelodeon Kids' Choice Awards .","When Rocko's Modern Life ended in 1996, Hillenburg began working on SpongeBob SquarePants."
what are d.o. of medicine,"Holders of the D.O. degree are known as osteopathic physicians and have the same rights, privileges, and responsibilities as physicians with a Doctor of Medicine degree (M.D.).","There are over 77,784 D.O. physicians in the United States, of which 69,429 are in active practice."
what is active learning strategies,Active learning is an umbrella term that refers to several models of instruction that focus the responsibility of learning on learners.,"In this report they discuss a variety of methodologies for promoting ""active learning""."
who sang I want to dance with somebody,"""I Wanna Dance with Somebody (Who Loves Me)"" is the first single from Whitney Houston 's second studio album Whitney .","It was eventually surpassed by her version of "" I Will Always Love You ""."
what type of business is walmart,"Wal-Mart Stores, Inc. (), branded as Walmart, is an American multinational retail corporation that runs chains of large discount department stores and warehouse stores.","In 2009, it generated 51 percent of its US$258 billion sales in the U.S. from grocery business."
what causes heart disease,The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.,"Cardiovascular disease (also called heart disease) is a class of diseases that involve the heart or blood vessels ( arteries , capillaries , and veins )."
when did qing dynasty begin,"The Qing Dynasty, also Empire of the Great Qing or Great Qing, was the last imperial dynasty of China , ruling from 1644 to 1912 with a brief, abortive restoration in 1917.",""" Unequal Treaties "" provided for extraterritoriality and removed large areas of treaty ports from Chinese sovereignty."
who owns youtube,"In November 2006, YouTube, LLC was bought by Google for US$1.65 billion, and operates as a subsidiary of Google.","Most of the content on YouTube has been uploaded by individuals, although media corporations including CBS , the BBC , Vevo , Hulu , and other organizations offer some of their material via the site, as part of the YouTube partnership program."
what countries did immigrants come from during the immigration,"The history of immigration to the United States is a continuing story of peoples from more populated continents, particularly Europe and also Africa and Asia, crossing oceans to the new land.",Attitudes toward new immigrants have cycled between favorable and hostile since the 1790s.
when did texas become a state,In 1845 it joined the United States as the 28th state.,"Texas is the second most populous and the second-largest of the 50 states in the United States of America , and the largest state in the 48 contiguous United States ."
who made the matrix,"The Matrix is a 1999 American–Australian science fiction action film written and directed by The Wachowski Brothers and starring Keanu Reeves , Laurence Fishburne , Carrie-Anne Moss , Joe Pantoliano , and Hugo Weaving .","Despite this, the film has since appeared in lists of the greatest science fiction films , and in 2012, was added to the National Film Registry for preservation."
what are some six sigma tools used,"It uses a set of quality management methods, including statistical methods , and creates a special infrastructure of people within the organization (""Champions"", ""Black Belts"", ""Green Belts"", ""Orange Belts"", etc.) who are experts in these very complex methods.","The term Six Sigma originated from terminology associated with manufacturing, specifically terms associated with statistical modeling of manufacturing processes ."
who created massey ferguson,"The company was formed by a merger between Massey Harris and the Ferguson Company farm machinery manufacturer in 1953, creating the company Massey Harris Ferguson.",A Massey Ferguson MF 3660 tractor from the early 1990s
where do the mohawks live,"Kanien'kehá:ka (""People of the Place of Flint"") are an Iroquoian -speaking indigenous people of North America originally from the Mohawk Valley in upstate New York .","They call themselves Kanien'gehaga, people of the place of the flint."
when did proof die,"DeShaun Dupree Holton (October 2, 1973 – April 11, 2006), better known by his stage name Proof, was an American rapper and actor from Detroit , Michigan .","During his career, he was a member of the groups Goon Squad, 5 Elementz, Promatic, and most notably, D12 ."
when did ww1 end?,World War I (WWI) was a global war centred in Europe that began on 28 July 1914 and lasted until 11 November 1918.,"Within weeks, the major powers were at war and, via their colonies, the conflict soon spread around the world."
what year did mexico gain independence from spain,"The Mexican War of Independence (1810–1821) was an armed conflict between the people of Mexico and the Spanish colonial authorities which started on September 16, 1810.","The movement, which became known as the Mexican War of Independence, was led by Mexican-born Spaniards , Mestizos and Amerindians who sought independence from Spain."
what year was smokey the bear invented,"An advertising campaign featuring Smokey was created in 1944 with the slogan, ""Smokey Says – Care Will Prevent 9 out of 10 Forest Fires"".","The fictional character Smokey Bear, created by the art critic Harold Rosenberg , is administered by three entities: the United States Forest Service , the National Association of State Foresters , and the Ad Council ."
who said tv is a vast wasteland,"Newton Norman Minow (born January 17, 1926) is an American attorney and former Chairman of the Federal Communications Commission .","While still maintaining a law practice, Minow is currently the Honorary Consul General of Singapore in Chicago ."
what is a duvet cover used for,"A duvet ( or ; ; from the French duvet ""down""), also known as a doona in Australian English or a continental quilt (or simply quilt) in British English , but this usage is no longer common, is a type of bedding , a soft flat bag filled with down , feathers , wool , silk or a synthetic alternative, and protected with a removable cover, analogous to a pillow and pillow case.","Duvets originated in rural Europe and were made from the down feathers of the eider duck , known for its usefulness as a thermal insulator ."
who did mr bojangles,"""Mr. Bojangles"" is the title of a song originally written and recorded by American country music artist Jerry Jeff Walker for his 1968 album of the same title.","Live versions of the song appeared on Walker 's 1977 Album, A Man Must Carry On and his 1980 album The Best of Jerry Jeff Walker."
where does angela davis currently work,"She is a retired professor with the History of Consciousness Department at the University of California, Santa Cruz , and is the former director of the university's Feminist Studies department.","She was tried and acquitted of suspected involvement in the Soledad brothers ' August 1970 abduction and murder of Judge Harold Haley in Marin County, California ."
who wrote west side story,"West Side Story is an American musical with a book by Arthur Laurents , music by Leonard Bernstein , lyrics by Stephen Sondheim , and conception and choreography by Jerome Robbins .","The play spawned an innovative 1961 musical film of the same name , directed by Robert Wise and Robbins, starring Natalie Wood , Richard Beymer , Rita Moreno , George Chakiris and Russ Tamblyn ."
who has brad pitt dated,"Following a high-profile relationship with actress Gwyneth Paltrow , Pitt was married to actress Jennifer Aniston for five years.","William Bradley ""Brad"" Pitt (born December 18, 1963) is an American actor and film producer."
what year was President kennedy president?,"John Fitzgerald ""Jack"" Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK, was the 35th President of the United States , serving from 1961 until his death in 1963.","It involved certain forced relocation, village internment, and segregation of rural South Vietnamese from the northern and southern communist insurgents."
what is a monarch to a monarchy,A monarchy is a form of government in which sovereignty is actually or nominally embodied in a single individual (the monarch ).,"The monarchs of Cambodia, Japan, Jordan, Malaysia and Morocco ""reign, but do not rule"" although there is considerable variation in the amount of authority they wield."
what can sql 2005 do,"As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet).","There are at least a dozen different editions of Microsoft SQL Server aimed at different audiences and for different workloads (ranging from small applications that store and retrieve data on the same computer, to millions of users and computers that access huge amounts of data from the Internet at the same time)."
who sang momma told me not to come,"""Mama Told Me (Not to Come)"" is a song by Randy Newman written for Eric Burdon 's first solo album in 1966.",Three Dog Night 's 1970 cover of the song topped the U.S. pop singles charts.
who designed the statue of liberty,"The Statue of Liberty (Liberty Enlightening the World; French: La Liberté éclairant le monde) is a neoclassical sculpture on Liberty Island in New York Harbor , designed by Frédéric Bartholdi and dedicated on October 28, 1886.",The torch-bearing arm displayed at the Centennial Exposition in 1876 and in New York's Madison Square Park from 1876 to 1882.
who wrote second corinthians,"Paul the Apostle and ""Timothy our brother"" wrote this epistle to ""the church of God which is at Corinth , with all the saints which are in all Achaia "".","The Second Epistle to the Corinthians, often referred to as Second Corinthians (and written as 2 Corinthians), is the eighth book of the New Testament of the Bible."
who first synthesized heroin,"Heroin (diacetylmorphine or morphine diacetate ( INN )), also known as diamorphine ( BAN ), and colloquially as H, smack, horse, brown, black, tar, and other names, is an opioid analgesic synthesized by C.R. Alder Wright in 1874 by adding two acetyl groups to the molecule morphine , found in the opium poppy .","When it is used in a medical environment, it is referred to as diamorphine."
what type of land is savannah,"A savanna, or savannah, is a grassland ecosystem characterized by the trees being sufficiently widely spaced so that the canopy does not close.",Savannas are associated with several types of biomes .
who set the world record for women for high jump,"Stefka Kostadinova ( Bulgaria ) has held the women's world record at since 1987, also the longest-held record in the event.",The high jump is a track and field athletics event in which competitors must jump over a horizontal bar placed at measured heights without the aid of certain devices.
what type of ecosystem does stingrays live in,"Stingrays are common in coastal tropical and subtropical marine waters throughout the world, and also includes species found in warmer temperate oceans, such as Dasyatis thetidis , and those found in the deep ocean , such as Plesiobatis daviesi .","Most stingrays have one or more barbed stings (modified from dermal denticles ) on the tail, which are used exclusively in self-defense."
what religion is primary in africa?,The continent's various populations and individuals are mostly adherents of Christianity or Islam .,"Religion in Africa is multifaceted and has been a major influence on art , culture and philosophy ."
when did marlins start,The Miami Marlins began play in the 1993 season as the Florida Marlins.,"They played home games from their inaugural season to the 2011 season at Sun Life Stadium , which they shared with the Miami Dolphins of the National Football League (NFL) and which was also called Joe Robbie Stadium, Pro Player Park, Pro Player Stadium, Dolphin Stadium, Dolphins Stadium, and Land Shark Stadium during their tenancy."
What are the different translations for the Bible,"The Bible has been translated into many languages from the biblical languages of Hebrew , Aramaic and Greek .",English Bible translations in particular have a rich and varied history of more than a millennium.
when did ms .drgs go into effect,"DRGs have been used in the US since 1982 to determine how much Medicare pays the hospital for each ""product"", since patients within each category are clinically similar and are expected to use the same level of hospital resources.","The system is also referred to as ""the DRGs"", and its intent was to identify the ""products"" that a hospital provides."
what would be the deliverables,"A deliverable could be a report, a document, a server upgrade or any other building block of an overall project.",Deliverable is a term used in project management to describe a tangible or intangible object produced as a result of the project that is intended to be delivered to a customer (either internal or external).
what is a google in math,"A googol is the large number 10100; that is, the digit 1 followed by 100 zeroes :","In the binary numeral system , one would need 333 bits to represent a googol, i.e., 1 googol ≈ 2332.19, or exactly ."
who makes skittles?,"Skittles is a brand of fruit-flavoured sweets , currently produced and marketed by the Wm. Wrigley Jr. Company , a division of Mars, Inc.","The confectionery has been sold in a variety of flavour collections, such as Tropical and Wild Berry."
What is a 28 day cycle?,"This article focuses on the human menstrual cycle, a ""monthly"" cycle that can vary around an average of ~28 days per cycle.",Menstrual cycles are counted from the first day of menstrual bleeding.
who won the 1967 nba championship,"The 76ers won the series over the Warriors, 4-2.","The 1967 NBA World Championship Series was the championship series of the 1966-67 National Basketball Association season , and was the conclusion of the 1967 NBA Playoffs ."
who make airbus,"Airbus SAS (, , , ) is an aircraft manufacturing subsidiary of EADS , a European aerospace company.","Consolidation of European defence and aerospace companies in 1999 and 2000 allowed the establishment of a simplified joint-stock company in 2001, owned by EADS (80%) and BAE Systems (20%)."
who wrote the song for star wars,"The music of Star Wars consists of the scores written for all six Star Wars films by composer John Williams from 1977 to 1983 for the Original Trilogy , and 1999 to 2005 for the Prequel Trilogy .","First performed in London , it went on to tour across the United States and Canada , last playing at London, Ontario, Canada on July 25, 2010."
what are private labels,Private label products or services are typically those manufactured or provided by one company for offer under another company's brand .,"Swedish grocery store where private label products (under the brands ' and Eldorado , Axfood ) are placed along with other brands such as Knorr ( Unilever ) and ' ( Campbell Soup )."
what is a neuro tract,"A neural pathway, neural tract, or neural face, connects one part of the nervous system with another and usually consists of bundles of elongated, myelin -insulated neurons , known collectively as white matter .","Neural pathways serve to connect relatively distant areas of the brain or nervous system, compared to the local communication of grey matter ."
when did dr.carter g woodson die,"Carter Godwin Woodson (December 19, 1875April 3, 1950) was an African-American historian , author , journalist and the founder of the Association for the Study of African American Life and History .","A founder of Journal of Negro History , Woodson has been cited as the father of black history ."
what makes of the united states,"The United States of America (USA or U.S.A.), commonly called the United States (US or U.S.) or America, is a federal republic consisting of fifty states and a federal district .","Paleoindians migrated from Asia to what is now the United States mainland around 15,000 years ago."
what are circumpolar constellations,"In astronomy, the circumpolar constellations are constellations that never set from the viewer's perspective.","Also, its altitude for a given place is fixed and its value is given by the following formula: A = 90-Ø."
what states allow same sex marriage,"As of May 2013, ten states— Connecticut , Iowa , Maine , Maryland , Massachusetts , New Hampshire , New York , Rhode Island , Vermont , and Washington —as well as the District of Columbia and three Native American tribes —have legalized same-sex marriage, representing 16.1% of the U.S. population.","The movement to obtain marriage rights and benefits for same-sex couples in the United States began in the 1970s, but became more prominent in U.S. politics in 1993 when the Hawaii Supreme Court declared the state's prohibition to be unconstitutional in Baehr v. Lewin ."
who wrote the song hallelujah,"""Hallelujah"" is a song written by Canadian singer-songwriter Leonard Cohen , originally released on his album Various Positions (1984).","In a New York Times review of this, Janet Maslin praises the book and the song, noting that ""Cohen spent years struggling with his song 'Hallelujah.' . . ."
what years was the 18th century,"The 18th century lasted from January 1, 1701 to December 31, 1800 in the Gregorian calendar .",1700 CE world map
what year was the eiffel tower made,"Erected in 1889 as the entrance arch to the 1889 World's Fair , it has become both a global cultural icon of France and one of the most recognizable structures in the world.",The third and highest level is accessible only by lift—stairs do exist but are usually closed to the public.
what species is a spider,Spiders ( order Araneae) are air-breathing arthropods that have eight legs and chelicerae with fangs that inject venom .,"A herbivorous species, Bagheera kiplingi , was described in 2008, but all other known species are predators , mostly preying on insects and on other spiders, although a few large species also take birds and lizards."
what is adoration catholic church,"Eucharistic adoration is a practice in the Roman Catholic Church , and in a few Anglican and Lutheran churches, in which the Blessed Sacrament is exposed and adored by the faithful.",Authors such as the Venerable Concepcion Cabrera de Armida and Blessed Maria Candida of the Eucharist have produced large volumes of text based on their Eucharistic meditations.
Where Elephants Live,"Elephants are scattered throughout sub-Saharan Africa , and South and Southeast Asia .","Adult bulls mostly interact with family groups when looking for a mate and enter a state of increased testosterone and aggression known as musth , which helps them gain dominance and reproductive success."
how old was sue lyon when she made lolita,"The actress who played Lolita, Sue Lyon , was fourteen at the time of filming.","Kubrick later commented that, had he realized how severe the censorship limitations were going to be, he probably never would have made the film."
who is flo from progressive,"She is played by actress and comedian Stephanie Courtney , and has a fan base on social networks like Facebook .","In 2011, Progressive introduced an Australian counterpart to Flo, named Kitty, played by Australian actress Holly Austin."
what is petit lemans,"The Petit Le Mans ( French for little Le Mans) is a sports car endurance race held annually at Road Atlanta in Braselton, Georgia , USA.","Rinaldo Capello holds the record of most race wins, having won in 2000 , 2002 , 2006 , 2007 and 2008 ."
where is humboldt ks,"Humboldt is a city situated along the Neosho River in the southwest part of Allen County , located in southeast Kansas , in the Central United States .","As of the 2010 census , the city population was 1,953."
what is chep pallet,"CHEP (Commonwealth Handling Equipment Pool) is an international company dealing in pallet and container pooling services, serving customers in a range of industrial and retail supply chains .",CHEP is owned by Brambles Limited .
what is the ingredient in mustard,"Mustard (or yellow sauce) is a condiment made from the seeds of a mustard plant (white or yellow mustard, Sinapis hirta ; brown or Indian mustard, Brassica juncea ; or black mustard, B. nigra ).",Mustard seeds (top-left) may be ground (top-right) to make different kinds of mustard.
who are the members of the climax blues band?,"The original members were guitarist/vocalist Peter Haycock , guitarist Derek Holt; keyboardist Arthur Wood; bassist Richard Jones; drummer George Newsome; and lead vocalist and saxophonist Colin Cooper.","That song and ""I Love You"" were American hits as well; ""Couldn't Get It Right"" reached No. 3 on the Billboard Hot 100 in 1977, and ""I Love You"" peaked at No. 12 in 1981."
WHAT IS PARESTHESIAS OF HANDS,"Paresthesia ( or ), is a sensation of tickling, tingling, burning, pricking, or numbness of a person's skin with no apparent long-term physical effect.",The manifestation of paresthesia may be transient or chronic.
where is cougar town filmed,"Filming for the series takes place at Culver Studios in Culver City, California .","The third season, consisting of 15 episodes, was originally slated to premiere in November 2011 but due to ABC's promotion of the ill-fated Man Up!"
what is the population of san francisco,"San Francisco is the fourth most populous city in California, after Los Angeles , San Diego and San Jose , and the 14th most populous city in the United States—with a population of 805,235 as of the 2010 Census.","After the war, the confluence of returning servicemen, massive immigration, liberalizing attitudes, and other factors led to the Summer of Love and the gay rights movement, cementing San Francisco as a center of liberal activism in the United States ."
what is rock of ages about,"Rock of Ages is a rock / jukebox musical , with a book by Chris D'Arienzo, built around classic rock hits from the 1980s, especially from the famous glam metal bands of the decade.",Arrangements for the original Los Angeles production were furnished by David Gibbs.
what is general chu chicken,"General Tso's chicken (sometimes Governor Tso's chicken, General Gau's chicken, General Tao's chicken, General Tsao's chicken, General Tong's chicken, General Tang's chicken or simply General's Chicken) is a sweet , slightly spicy , deep-fried chicken dish that is popularly served in North American Chinese restaurants.","The dish is reported to have been introduced to New York City in the early 1970s as an example of Hunan cooking , though it is not typical of Hunanese cuisine, which is traditionally very spicy and rarely sweet."
what was the city of Mithridates,"Mithridates VI or Mithradates VI (), from Old Persian Mithradatha, ""gift of Mithra ""; 134–63 BC, also known as Mithradates the Great (Megas) and Eupator Dionysius, was king of Pontus and Armenia Minor in northern Anatolia (now Turkey ) from about 120–63 BC.",He was also the greatest ruler of the Kingdom of Pontus.
who is basketball star antoine walker,"Antoine Devon Walker (born August 12, 1976) is an American former professional basketball player.",He was drafted with the sixth overall pick in the 1996 NBA Draft out of the University of Kentucky and played in the NBA from 1996 to 2008.
what does righteousness mean,"It is an attribute that implies that a person's actions are justified, and can have the connotation that the person has been ""judged"" or ""reckoned"" as leading a life that is pleasing to the god/s portrayed in these belief systems.","He used it to translate the Hebrew root צדקים (TzDYQ), tzedek , which appears more than five hundred times in the Hebrew Bible , and the Greek word (dikaios), which appears more than two hundred times in the New Testament ."
WHere is a famous alluvial plain,"The Mississippi River Alluvial Plain is an alluvial plain created by the Mississippi River on which lies parts of seven U.S. states , from southern Louisiana to southern Illinois .","It is the largest ecoregion of Louisiana, covering , and including all of the historic Mississippi River floodplain ."
what is the si unit of pressure,Everyday pressures are often stated in kilopascals (1 kPa = 1000 Pa).,A pressure of 1 Pa is small; it approximately equals the pressure exerted by a dollar bill resting flat on a table.
what is the great basin area,The Great Basin is the largest area of endorheic watersheds in North America .,"The region spans several physiographic divisions, biomes / ecoregions , and deserts ."
what is in a tequila sunrise?,"The Tequila Sunrise is a cocktail made in two different ways, the original ( tequila , crème de cassis , lime juice and soda water ) and the more popular concoction ( tequila , orange juice , and grenadine syrup ).","Originally served at the Arizona Biltmore Hotel , where it was created by Gene Sulit in the 1930s or 1940s, the cocktail is named for the way it looks after it has been poured into a glass."
what is the function of the liver,"It has a wide range of functions, including detoxification , protein synthesis , and production of biochemicals necessary for digestion .","The liver's highly specialized tissues regulate a wide variety of high-volume biochemical reactions, including the synthesis and breakdown of small and complex molecules, many of which are necessary for normal vital functions."
what is the formula for calcium nitrate,"Calcium nitrate, also called Norgessalpeter (Norwegian saltpeter), is the inorganic compound with the formula Ca(NO3)2.",This colourless salt absorbs moisture from the air and is commonly found as a tetrahydrate .
where is the 2011 mlb all star game location,"The event was held on Tuesday, July 12, 2011 at Chase Field in Phoenix, Arizona , home of the National League Arizona Diamondbacks .","With a combination of injuries and rule enforcements, a record 84 players were named to the All-Star rosters."
